City,District,OBJECTID,REPORTYEAR,REPORTDATE,ADDRESS,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,District 4,1,2015,2015-01-01,5XX MOHAWK,1570056,STOLEN,1095,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3073654.11375986,1242054.28890303
BOULDER,District 4,2,2015,2015-01-01,5XX MOHAWK,1570056,STOLEN,1450,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3073654.11375986,1242054.28890303
BOULDER,District 3M,3,2015,2015-01-05,10XX ARAPAHOE,1500130,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3061133.26435712,1248002.07013545
BOULDER,District 3,4,2015,2015-01-10,23XX SOUTH,1570045,STOLEN,2700,No,Online Report - No Call Disposition,Online Report - No Call Number,3066060.36442146,1250101.78736996
BOULDER,,5,2015,2015-01-12,8XX ,1570052,STOLEN,3200,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 4,6,2015,2015-01-12,28XX AURORA,1570049,STOLEN,400,No,Online Report - No Call Disposition,Online Report - No Call Number,3068357.23243509,1244362.92707795
BOULDER,District 3,7,2015,2015-01-13,23XX SPRUCE,1570060,STOLEN,700,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3065696.1149327,1251060.16208391
BOULDER,,8,2015,2015-01-14,VALID ADDRESS UNAVAILABLE,1570070,STOLEN,160,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,,9,2015,2015-01-15,VALID ADDRESS UNAVAILABLE,1570074,STOLEN,800,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 3M,10,2015,2015-01-20,20XX 13TH,1500720,STOLEN,748,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3061806.11494817,1249816.1624239
BOULDER,District 1,11,2015,2015-01-20,14XX ZAMIA,1500741,STOLEN,4300,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3061906.73187874,1265223.9504242
BOULDER,,12,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1500,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,,13,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1000,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,,14,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,,15,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1500,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 4,16,2015,2015-01-22,6XX MANHATTAN,1500799,STOLEN,600,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3075457.34624817,1242587.67565746
BOULDER,District 4,17,2015,2015-01-22,6XX MANHATTAN,1500799,STOLEN,3000,No,Online Report - No Call Disposition,Online Report - No Call Number,3075457.34624817,1242587.67565746
BOULDER,District 1,18,2015,2015-01-24,31XX 3RD,1570113,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3057922.7245643,1254575.77753519
BOULDER,District 1,19,2015,2015-01-24,31XX 3RD,1570113,STOLEN,550,No,Online Report - No Call Disposition,Online Report - No Call Number,3057922.7245643,1254575.77753519
BOULDER,District 2,20,2015,2015-01-25,19XX 30TH,1500945,STOLEN,2500,No,Online Report - No Call Disposition,Online Report - No Call Number,3068871.45541801,1250400.63556402
BOULDER,District 3M,21,2015,2015-01-25,10XX ARAPAHOE,1500946,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3061133.26435712,1248002.07013545
BOULDER,,22,2015,2015-01-26,29XX ,1500972,STOLEN,2800,Yes,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 3M,23,2015,2015-01-26,19XX 11TH,1570121,STOLEN,350,No,Online Report - No Call Disposition,Online Report - No Call Number,3061266.20876648,1249062.08384192
BOULDER,District 1,24,2015,2015-01-27,46XX 16TH,1501038,STOLEN,1202,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3062190.91461903,1264786.6603494
BOULDER,,25,2015,2015-01-27,VALID ADDRESS UNAVAILABLE,1570128,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 4,26,2015,2015-01-29,9XX 28TH,1570141,STOLEN,1800,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3067940.61443137,1244490.41306468
BOULDER,District 4,27,2015,2015-02-03,55XX PENNSYLVANIA,1501359,STOLEN,580,No,Online Report - No Call Disposition,Online Report - No Call Number,3077057.86333081,1245233.28835032
BOULDER,District 2,28,2015,2015-02-03,29XX VALMONT,1570161,STOLEN,800,No,Online Report - No Call Disposition,Online Report - No Call Number,3068776.0018172,1253690.07090803
BOULDER,District 2,29,2015,2015-02-03,28XX KALMIA,1570163,STOLEN,3400,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3068100.86426968,1257065.16126361
BOULDER,District 1,30,2015,2015-02-06,36XX 21ST,1501476,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3064366.61464918,1257702.66135633
BOULDER,District 1,31,2015,2015-02-06,36XX 21ST,1501476,STOLEN,800,No,Online Report - No Call Disposition,Online Report - No Call Number,3064366.61464918,1257702.66135633
BOULDER,District 5,32,2015,2015-02-06,3XX 38TH,1570174,STOLEN,400,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3070233.1142736,1238525.03905829
BOULDER,District 5,33,2015,2015-02-06,3XX 38TH,1570174,STOLEN,400,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3070233.1142736,1238525.03905829
BOULDER,District 4,34,2015,2015-02-07,42XX MONROE,1501556,STOLEN,3600,No,Online Report - No Call Disposition,Online Report - No Call Number,3072401.83686014,1244747.77556056
